Dates,Tickers,Tenor,DeltaStrike,Type,Data
20250513,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0185
20250414,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0187
20250314,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0073
20250514,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0232
20250415,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0188
20250515,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.023
20250416,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0204
20250516,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0232
20250417,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0168
20250317,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0073
20250418,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.017
20250318,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0072
20250319,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0065
20250519,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0238
20250320,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0068
20250520,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.023
20250421,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0218
20250321,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0066
20250521,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0236
20250422,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0213
20250522,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0227
20250423,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0168
20250523,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0232
20250424,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0193
20250224,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.007
20250324,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0056
20250425,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0219
20250225,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0073
20250325,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0057
20250226,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0073
20250326,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0063
20250526,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0214
20250227,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0057
20250327,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0063
20250527,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0197
20250428,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0225
20250228,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0059
20250328,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0067
20250528,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0191
20250429,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0241
20250529,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0193
20250430,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0235
20250530,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0192
20250331,FX.USDJPY.VOL::4Y::10DRR::MID,4Y,10,RR,-0.0088
20250401,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.024
20250501,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0346
20250402,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0242
20250602,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0319
20250502,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0356
20250403,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0246
20250303,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0218
20250404,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0276
20250304,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0234
20250305,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0234
20250505,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0363
20250306,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0259
20250506,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0377
20250407,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0319
20250307,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0269
20250507,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.037
20250408,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0314
20250508,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0342
20250409,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0344
20250509,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0355
20250410,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0365
20250310,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0261
20250411,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0471
20250311,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0254
20250312,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0242
20250512,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0301
20250313,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0241
20250513,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0304
20250414,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0452
20250314,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0229
20250514,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0361
20250415,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0417
20250515,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0374
20250416,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.041
20250516,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0375
20250417,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0375
20250317,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0226
20250418,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0362
20250318,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0216
20250319,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0209
20250519,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.038
20250320,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0213
20250520,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0366
20250421,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0403
20250321,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0216
20250521,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0384
20250422,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0383
20250522,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0372
20250423,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0348
20250523,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0378
20250424,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0335
20250224,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0212
20250324,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0202
20250425,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0346
20250225,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0222
20250325,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0203
20250226,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0223
20250326,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0205
20250526,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0359
20250227,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.021
20250327,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0207
20250527,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0327
20250428,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0358
20250228,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0214
20250328,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0213
20250528,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0325
20250429,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0374
20250529,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0317
20250430,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0366
20250530,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0316
20250331,FX.USDJPY.VOL::9M::10DRR::MID,9M,10,RR,-0.0236
20250401,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0128
20250501,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0137
20250402,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0129
20250602,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.014
20250502,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.014
20250403,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0132
20250303,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.012
20250404,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0131
20250304,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0119
20250305,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0122
20250505,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0139
20250306,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0126
20250506,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0139
20250407,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0144
20250307,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0124
20250507,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.014
20250408,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0146
20250508,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0139
20250409,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0165
20250509,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0137
20250410,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0161
20250310,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0126
20250411,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0193
20250311,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0127
20250312,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0123
20250512,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0131
20250313,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0124
20250513,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0127
20250414,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0173
20250314,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0125
20250514,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0148
20250415,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.017
20250515,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.015
20250416,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0171
20250516,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0138
20250417,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0164
20250317,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0122
20250418,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.016
20250318,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0123
20250319,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0124
20250519,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.014
20250320,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0123
20250520,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0135
20250421,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0164
20250321,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0121
20250521,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0142
20250422,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0154
20250522,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0143
20250423,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0146
20250523,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0143
20250424,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0142
20250224,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0114
20250324,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0124
20250425,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0138
20250225,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0118
20250325,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0121
20250226,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0117
20250326,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0124
20250526,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0142
20250227,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0118
20250327,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0127
20250527,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.014
20250428,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0137
20250228,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0119
20250328,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0125
20250528,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.014
20250429,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0136
20250529,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0142
20250430,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0139
20250530,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.014
20250331,FX.USDJPY.VOL::1Y::10DBF::MID,1Y,10,BF,0.0132
20250401,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0109
20250501,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0168
20250402,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0109
20250602,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0157
20250502,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.017
20250403,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0112
20250303,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0089
20250404,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.012
20250304,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0097
20250305,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0094
20250505,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0176
20250306,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0108
20250506,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0177
20250407,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0144
20250307,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0111
20250507,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0176
20250408,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.014
20250508,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.017
20250409,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0149
20250509,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0172
20250410,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0171
20250310,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0111
20250411,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0228
20250311,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0112
20250312,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0103
20250512,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0147
20250313,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0104
20250513,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0148
20250414,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0205
20250314,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0101
20250514,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0173
20250415,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0196
20250515,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0178
20250416,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0193
20250516,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0174
20250417,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0178
20250317,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.01
20250418,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0174
20250318,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.01
20250319,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0097
20250519,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0177
20250320,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0098
20250520,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0173
20250421,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0186
20250321,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0098
20250521,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0179
20250422,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0181
20250522,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0176
20250423,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.016
20250523,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0176
20250424,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0164
20250224,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0083
20250324,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0092
20250425,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0166
20250225,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0089
20250325,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0092
20250226,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0089
20250326,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0094
20250526,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.017
20250227,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0087
20250327,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0095
20250527,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0161
20250428,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0169
20250228,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0089
20250328,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0096
20250528,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0157
20250429,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0177
20250529,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0153
20250430,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0175
20250530,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0155
20250331,FX.USDJPY.VOL::1Y::25DRR::MID,1Y,25,RR,-0.0108
20250401,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0951
20250501,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0976
20250402,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0949
20250602,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0984
20250502,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0986
20250403,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0954
20250303,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0938
20250404,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0955
20250304,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0946
20250305,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0951
20250505,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.1
20250306,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0958
20250506,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.1003
20250407,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0959
20250307,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0963
20250507,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0993
20250408,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0971
20250508,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.098
20250409,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0975
20250509,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0979
20250410,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.1006
20250310,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0959
20250411,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.1002
20250311,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0954
20250312,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0946
20250512,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0946
20250313,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0945
20250513,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0937
20250414,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0976
20250314,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0933
20250514,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0952
20250415,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0988
20250515,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0959
20250416,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0995
20250516,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.096
20250417,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0992
20250317,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0934
20250418,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.099
20250318,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0931
20250319,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0938
20250519,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0963
20250320,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0939
20250520,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0961
20250421,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.1008
20250321,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0938
20250521,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0992
20250422,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0994
20250522,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0989
20250423,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0976
20250523,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.1007
20250424,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0975
20250224,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0933
20250324,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0932
20250425,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.097
20250225,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0938
20250325,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.093
20250226,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0937
20250326,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0927
20250526,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.1004
20250227,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0935
20250327,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0924
20250527,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0979
20250428,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.0979
20250228,FX.USDJPY.VOL::2Y::ATM::MID,2Y,ATM,ATM,0.094
